2023-02-12 11:27:08,032 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:27:08,469 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 11:27:08,567 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 11:27:08,748 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-12 11:27:09,193 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application GeForce NOW (/var/lib/flatpak/exports/share/applications/io.github.hmlendea.geforcenow-electron.desktop) Exec ['/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', 'io.github.hmlendea.geforcenow-electron']
2023-02-12 11:27:09,226 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:36:16,291 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:36:16,292 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 11:36:16,299 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:36:16,985 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:36:16,985 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 11:36:16,988 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:36:21,555 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:36:21,556 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 11:36:21,560 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:36:22,349 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 11:36:22,349 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 11:36:22,353 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 11:43:48,037 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/home/tommi/.local/share/applications/Road 96.desktop)
2023-02-12 11:44:01,519 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Heavy Rain" (/home/tommi/.local/share/applications/Heavy Rain.desktop)
2023-02-12 12:05:15,616 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 12:05:15,616 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 12:05:15,622 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 12:05:16,033 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-12 12:05:16,237 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2023-02-12 12:05:16,681 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Brave (/var/lib/flatpak/exports/share/applications/com.brave.Browser.desktop) Exec ['/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', '--command=brave', '--file-forwarding', 'com.brave.Browser', '@@u', '@@']
2023-02-12 12:05:16,690 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 12:39:17,793 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 12:39:17,793 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 12:39:17,799 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 13:52:01,591 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/home/tommi/.local/share/applications/METAL GEAR SOLID V THE PHANTOM PAIN.desktop)
2023-02-12 13:52:13,898 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Grand Theft Auto IV: The Complete Edition" (/home/tommi/.local/share/applications/Grand Theft Auto IV The Complete Edition.desktop)
2023-02-12 13:57:19,542 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 13:57:19,543 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 13:57:19,548 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 13:57:20,126 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-12 13:57:20,283 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2023-02-12 13:57:20,780 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Brave (/var/lib/flatpak/exports/share/applications/com.brave.Browser.desktop) Exec ['/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', '--command=brave', '--file-forwarding', 'com.brave.Browser', '@@u', '@@']
2023-02-12 13:57:20,789 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 15:04:14,067 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/home/tommi/.local/share/applications/Cyberpunk 2077.desktop)
2023-02-12 15:04:28,096 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "The Dark Pictures Anthology: Man of Medan" (/home/tommi/.local/share/applications/The Dark Pictures Anthology Man of Medan.desktop)
2023-02-12 17:46:51,815 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 17:46:51,815 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 17:46:51,820 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 17:46:53,090 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2023-02-12 17:46:54,470 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 17:46:55,339 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-12 17:46:55,562 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2023-02-12 17:46:57,515 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Brave (/var/lib/flatpak/exports/share/applications/com.brave.Browser.desktop) Exec ['/usr/bin/flatpak', 'run', '--branch=stable', '--arch=x86_64', '--command=brave', '--file-forwarding', 'com.brave.Browser', '@@u', '@@']
2023-02-12 17:46:57,524 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 22:20:30,485 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 22:20:30,486 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 22:20:30,491 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 22:20:31,074 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2023-02-12 22:20:31,152 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2023-02-12 22:20:31,648 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Plank (/usr/share/applications/plank.desktop) Exec ['plank']
2023-02-12 22:20:31,658 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 22:26:22,786 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-02-12 22:26:22,786 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-02-12 22:26:22,791 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2023-02-12 22:26:23,191 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
